G,speed,plvD_r,aecD_r,plvT_r,aecT_r,plvA_r,aecA_r,plvB_r,aecB_r,plvG_r,aecG_r,Average,PLVavg,AECavg
16.4,7.1,0.265447449,0.143963943,0.364323181,0.270902069,0.361580715,0.25773616,0.282368508,0.339362615,0.260260834,0.245089054,0.279103453,0.306796137,0.251410768
14.6,3.5,0.273055389,0.190312309,0.371499757,0.274717584,0.347659058,0.202395664,0.322052264,0.32064046,0.221228644,0.260051571,0.27836127,0.307099022,0.249623518
16.6,7.5,0.191900412,0.143159115,0.353785898,0.360241533,0.360534359,0.223840561,0.312463956,0.338511944,0.207904653,0.283237281,0.277557971,0.285317856,0.269798087
17,9.5,0.198923934,0.200804484,0.393844383,0.307259975,0.32200238,0.226937181,0.340022842,0.329403375,0.197538375,0.252363501,0.276910043,0.290466383,0.263353703
16.6,6.3,0.235222156,0.176490168,0.326209468,0.399475466,0.362765501,0.214393929,0.290604313,0.283366374,0.186281964,0.288567728,0.276337707,0.28021668,0.272458733
15.6,3.9,0.181497393,0.213336121,0.321804196,0.340795831,0.384462712,0.25575684,0.271180857,0.259719289,0.287632243,0.243556182,0.275974166,0.28931548,0.262632853
16.6,6.7,0.182120174,0.150847299,0.337883472,0.33478257,0.379372768,0.255891747,0.288453927,0.330132297,0.204268609,0.288406508,0.275215937,0.27841979,0.272012084
14,2.9,0.29146478,0.184590821,0.373461773,0.286739839,0.311826562,0.199451327,0.268519317,0.271800711,0.27308608,0.290884887,0.27518261,0.303671702,0.246693517
17,7.1,0.227986182,0.176894976,0.305109886,0.362758104,0.328877713,0.272556297,0.276770955,0.30162626,0.175466093,0.303477057,0.273152352,0.262842166,0.283462539
16.8,9.5,0.277834137,0.113174189,0.35768962,0.280034609,0.386573312,0.288240819,0.324066963,0.307838399,0.080150657,0.292660961,0.270826367,0.285262938,0.256389795
15.2,3.9,0.195857583,0.123102461,0.310892553,0.318251136,0.350021324,0.21531373,0.326951893,0.322548377,0.278320395,0.265822022,0.270708147,0.29240875,0.249007545
17.2,7.9,0.270817154,0.227449915,0.256394672,0.382770027,0.248400109,0.311532126,0.298279379,0.314618293,0.153419279,0.240821173,0.270450213,0.245462119,0.295438307
17.4,9.5,0.253666499,0.189581163,0.26266092,0.361507565,0.262584363,0.324567912,0.294594122,0.372897478,0.158088102,0.222995977,0.27031441,0.246318801,0.294310019
16.2,5.1,0.183893827,0.210216768,0.327530078,0.373035259,0.341680581,0.236481892,0.25564895,0.274641282,0.240325095,0.256454009,0.269990774,0.269815706,0.270165842
17.2,8.3,0.253808873,0.17696239,0.297278709,0.344633416,0.304911821,0.287272482,0.28390522,0.329022351,0.151563635,0.262290944,0.269164984,0.258293652,0.280036317
17,7.9,0.266155146,0.173182509,0.332540155,0.267334227,0.325688141,0.227434352,0.32513259,0.317634757,0.180488184,0.275772113,0.269136217,0.286000843,0.252271592
16,4.9,0.195344008,0.187789096,0.331025032,0.363014878,0.352336335,0.226371789,0.249156494,0.281592246,0.229422158,0.267314851,0.268336689,0.271456805,0.265216572
17.2,8.7,0.301054713,0.166774172,0.332856672,0.295397185,0.314985537,0.177200886,0.309131379,0.347944816,0.17114324,0.257436219,0.267392482,0.285834308,0.248950656
17.4,8.3,0.254653134,0.188191848,0.271486262,0.347061067,0.313842905,0.331657416,0.273255381,0.317158925,0.174795828,0.199510989,0.267161376,0.257606702,0.276716049
17.4,8.7,0.25878974,0.166938939,0.276140443,0.36041528,0.297407642,0.318808355,0.255658466,0.332248494,0.197241832,0.199820853,0.266347004,0.257047625,0.275646384
