G,speed,peak
3.0,4.5,10.009352787130565
3.0,5.0,9.169472502805837
3.0,5.5,9.311634867190422
3.0,6.0,9.37336326225215
3.0,6.5,9.221848110737
3.0,7.0,9.201271979049759
3.0,7.5,9.01421623643846
3.0,8.0,9.263000374111487
3.0,8.5,8.995510662177331
3.0,9.0,8.739244294799851
3.0,9.5,9.107744107744109
3.0,10.0,9.15824915824916
3.0,10.5,9.126449682005235
3.0,11.0,9.025439580995139
3.0,11.5,8.982416760194537
4.0,0.5,10.317994762439207
4.0,1.0,10.91470258136925
4.0,1.5,10.684624017957354
4.0,2.0,10.31799476243921
4.0,2.5,9.461279461279462
4.0,3.0,9.074074074074074
4.0,3.5,8.862701084923307
4.0,4.0,8.866442199775534
4.0,4.5,8.462401795735131
4.0,5.0,8.52038907594463
4.0,5.5,8.282828282828284
4.0,6.0,7.884399551066217
4.0,6.5,7.732884399551066
4.0,7.0,7.528993640104752
4.0,7.5,7.014590347923682
4.0,8.0,6.679760568649457
4.0,8.5,6.414141414141414
4.0,9.0,6.365506921062476
4.0,9.5,5.9633370744481855
4.0,10.0,5.8754208754208745
4.0,10.5,5.697717919940143
4.0,11.0,5.802469135802469
4.0,11.5,5.802469135802469
5.0,0.5,10.23756079311635
5.0,1.0,11.141040029928917
5.0,1.5,10.995136550692107
5.0,2.0,9.812944257388702
5.0,2.5,8.931911709689489
5.0,3.0,8.47549569771792
5.0,3.5,7.903105125327348
5.0,4.0,7.210998877665546
5.0,4.5,6.541339319117098
5.0,5.0,4.908342686120465
5.0,5.5,4.938271604938272
5.0,6.0,5.061728395061729
5.0,6.5,5.185185185185183
5.0,7.0,5.185185185185183
5.0,7.5,5.308641975308643
5.0,8.0,5.308641975308643
5.0,8.5,5.4320987654321
5.0,9.0,5.4320987654321
5.0,9.5,5.4320987654321
5.0,10.0,5.555555555555556
5.0,10.5,5.555555555555556
5.0,11.0,5.555555555555556
5.0,11.5,5.555555555555556
6.0,0.5,8.294051627384961
6.0,1.0,10.18144407033296
6.0,1.5,10.832398054620278
6.0,2.0,8.529741863075195
6.0,2.5,8.030303030303031
6.0,3.0,6.275720164609053
6.0,3.5,5.102880658436215
6.0,4.0,4.320987654320989
6.0,4.5,4.567901234567901
6.0,5.0,4.6913580246913575
6.0,5.5,4.814814814814817
6.0,6.0,4.938271604938272
6.0,6.5,4.938271604938272
6.0,7.0,5.061728395061729
6.0,7.5,5.798728020950242
6.0,8.0,5.185185185185183
6.0,8.5,5.185185185185183
6.0,9.0,5.308641975308643
6.0,9.5,5.308641975308643
6.0,10.0,5.914702581369249
6.0,10.5,5.4320987654321
6.0,11.0,5.4320987654321
6.0,11.5,5.4320987654321
7.0,0.5,7.856341189674523
7.0,1.0,10.641601197156753
7.0,1.5,10.781893004115227
7.0,2.0,7.566404788627012
7.0,2.5,6.848110736999627
7.0,3.0,4.552936775158998
7.0,3.5,3.9506172839506175
7.0,4.0,4.8765432098765435
7.0,4.5,4.320987654320989
7.0,5.0,5.0673400673400675
7.0,5.5,5.4208754208754195
7.0,6.0,4.6913580246913575
7.0,6.5,4.814814814814817
7.0,7.0,5.5218855218855225
7.0,7.5,4.938271604938272
7.0,8.0,5.091657313879537
7.0,8.5,5.061728395061729
7.0,9.0,5.061728395061729
7.0,9.5,5.7220351664796105
7.0,10.0,5.185185185185183
7.0,10.5,5.185185185185183
7.0,11.0,5.185185185185183
7.0,11.5,5.308641975308643
8.0,0.5,7.845117845117846
8.0,1.0,10.86606808829031
8.0,1.5,9.968200523756082
8.0,2.0,7.403666292555181
8.0,2.5,4.150766928544707
8.0,3.0,3.3333333333333335
8.0,3.5,3.703703703703703
8.0,4.0,3.9506172839506175
8.0,4.5,4.837261503928172
8.0,5.0,4.320987654320989
8.0,5.5,4.444444444444444
8.0,6.0,4.928918817807707
8.0,6.5,4.567901234567901
8.0,7.0,4.6913580246913575
8.0,7.5,4.6913580246913575
8.0,8.0,4.814814814814817
8.0,8.5,4.814814814814817
8.0,9.0,4.814814814814817
8.0,9.5,4.938271604938272
8.0,10.0,4.938271604938272
8.0,10.5,5.014964459408905
8.0,11.0,5.061728395061729
8.0,11.5,5.061728395061729
9.0,0.5,9.947624392068835
9.0,1.0,11.062476618032171
9.0,1.5,8.179947624392069
9.0,2.0,7.280209502431726
9.0,2.5,3.610175832398055
9.0,3.0,3.0864197530864206
9.0,3.5,3.456790123456791
9.0,4.0,3.703703703703703
9.0,4.5,4.298540965207632
9.0,5.0,4.074074074074075
9.0,5.5,4.197530864197531
9.0,6.0,4.917695473251029
9.0,6.5,4.320987654320989
9.0,7.0,4.444444444444444
9.0,7.5,4.444444444444444
9.0,8.0,4.567901234567901
9.0,8.5,4.567901234567901
9.0,9.0,4.96820052375608
9.0,9.5,4.6913580246913575
9.0,10.0,4.6913580246913575
9.0,10.5,4.956977179199403
9.0,11.0,4.814814814814817
