G,speed,peak
5,14,8.703703703703702
5,15,8.353909465020577
5,16,8.479236812570146
5,17,8.892630003741118
5,18,8.97119341563786
5,19,8.150018705574261
5,20,8.073325851103629
5,21,8.774784885895997
5,22,8.524130190796857
5,23,8.512906846240181
5,24,8.728020950243174
6,0,7.405536849981294
6,1,7.457912457912458
6,2,7.731013842124955
6,3,7.817059483726151
6,4,7.83576505798728
6,5,7.111859334081558
6,6,7.439206883651327
6,7,7.846988402543959
6,8,7.224092779648336
6,9,7.405536849981295
6,10,7.414889637111858
6,11,7.45230078563412
6,12,7.399925177702956
6,13,7.54021698466143
6,14,7.9966329966329965
6,15,7.461653572764685
6,16,7.033295922184813
6,17,8.002244668911338
6,18,7.542087542087543
6,19,6.872427983539095
6,20,8.112607557052003
6,21,7.542087542087543
6,22,7.173587729143286
6,23,7.3232323232323235
6,24,7.250280583613918
7,0,5.733258511036289
7,1,5.5873550317994765
7,2,5.6528245417134295
7,3,5.4938271604938285
7,4,5.617283950617285
7,5,5.677141788252898
7,6,5.351664796109241
7,7,5.5910961466517035
7,8,5.475121586232697
7,9,5.697717919940143
7,10,5.955854844743736
7,11,5.308641975308643
7,12,5.882903105125327
7,13,5.693976805087918
7,14,5.288065843621398
7,15,5.824915824915826
7,16,5.716423494201273
7,17,5.60231949120838
7,18,5.497568275346053
7,19,5.475121586232698
7,20,5.645342312008978
7,21,5.772540216984663
7,22,6.006359895248784
7,23,5.697717919940143
7,24,5.677141788252901
8,0,3.350168350168351
8,1,4.3901982790871665
8,2,4.668911335578003
8,3,4.67452300785634
8,4,4.876543209876544
8,5,3.8795361017583248
8,6,3.6288814066591852
8,7,4.771791994014216
8,8,4.139543583988028
8,9,3.870183314627759
8,10,4.852225963337075
8,11,3.896371118593341
8,12,4.0684624017957365
8,13,4.3976805087916215
8,14,4.3004115226337465
8,15,4.0179573512906845
8,16,4.11522633744856
8,17,3.7560793116348674
8,18,3.926300037411149
8,19,4.036662925551815
8,20,3.787878787878788
8,21,4.4444444444444455
8,22,4.206883651328097
8,23,4.1713430602319495
8,24,4.0871679760568655
9,0,3.8870183314627766
9,1,3.6176580621025063
9,2,4.02731013842125
9,3,3.7392442947998505
9,4,4.176954732510288
9,5,4.354657687991021
9,6,4.489337822671155
9,7,3.458660680882904
9,8,6.062476618032174
9,9,3.93939393939394
9,10,3.76356154133932
9,11,3.6924803591470265
9,12,3.9431350542461656
9,13,3.5110362888140667
9,14,3.2547699214365875
9,15,3.718668163112608
9,16,4.135802469135802
9,17,3.7598204264870936
9,18,3.812196034418257
9,19,3.4324728769173216
9,20,3.8402543958099513
9,21,4.263000374111486
9,22,4.238683127572016
9,23,3.5783763561541337
9,24,3.684998129442573
10,0,5.41339319117097
10,1,6.159745604190049
10,2,5.508791619902731
10,3,5.843621399176955
10,4,5.888514777403668
10,5,6.380471380471381
10,6,6.157875046763935
10,7,5.2450430228208
10,8,3.771043771043772
10,9,3.9412644968200516
10,10,5.738870183314629
10,11,3.9506172839506175
10,12,5.73325851103629
10,13,3.896371118593341
10,14,5.635989524878412
10,15,5.9165731387953615
10,16,4.098391320613543
10,17,5.8941264496820045
10,18,3.888888888888889
10,19,3.7355031799476235
10,20,5.808080808080809
10,21,5.888514777403666
10,22,5.621025065469509
10,23,5.776281331836888
10,24,6.026936026936027
11,0,5.834268612046389
11,1,6.137298915076693
11,2,6.1859334081556305
11,3,5.740740740740741
11,4,5.8604564160119725
11,5,5.826786382341938
11,6,6.240179573512907
11,7,5.841750841750843
11,8,5.8005985783763565
11,9,5.972689861578751
11,10,6.350542461653575
11,11,5.809951365506923
11,12,6.419753086419754
11,13,5.52749719416386
11,14,6.169098391320613
11,15,5.890385334829778
11,16,6.0830527497194185
11,17,6.414141414141414
11,18,5.877291432846988
11,19,6.038159371492705
11,20,6.548821548821549
11,21,6.071829405162738
11,22,6.034418256640478
11,23,6.118593340815562
11,24,6.257014590347924
12,0,6.255144032921812
12,1,5.791245791245792
12,2,5.78376356154134
12,3,5.5686494575383465
12,4,5.942760942760943
12,5,5.765057987280209
12,6,5.839880284324728
12,7,5.6472128694350925
12,8,5.907220351664798
12,9,5.6154133931911705
12,10,5.751964085297419
12,11,5.585484474373363
12,12,5.90909090909091
12,13,5.53872053872054
12,14,5.688365132809577
12,15,5.881032547699214
12,16,5.866068088290311
12,17,5.613542835765059
12,18,5.811821922933035
12,19,5.742611298166853
12,20,5.877291432846987
12,21,5.58361391694725
12,22,5.819304152637487
12,23,6.34867190422746
12,24,5.8791619902731025
13,0,3.9637111859334087
13,1,4.002992891881782
13,2,4.15263748597082
13,3,4.7138047138047146
13,4,3.793490460157127
13,5,3.634493078937524
13,6,4.345304900860456
13,7,3.808454919566031
13,8,3.641975308641976
13,9,4.2817059483726165
13,10,3.7766554433221096
13,11,4.420127197904975
13,12,3.823419378974935
13,13,3.875794986906098
13,14,3.6157875046763936
13,15,3.718668163112608
13,16,4.812944257388702
13,17,4.577254021698466
13,18,4.352787130564908
13,19,3.7467265245043033
13,20,4.541713430602321
13,21,4.178825289936401
13,22,4.350916573138795
13,23,4.012345679012347
13,24,3.469884025439581
14,0,3.847736625514404
14,1,3.9917695473251023
